exchange,underlying,expiry,ts,underlyingPrice,symbol,strike,type,moneyness,markIv
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-72500-P,72500,put,1.0829,0.6193
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-73000-C,73000,call,1.0904,0.6634
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-73000-P,73000,put,1.0904,0.6634
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-73500-C,73500,call,1.0979,0.709
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-73500-P,73500,put,1.0979,0.709
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-74000-C,74000,call,1.1053,0.7523
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-74000-P,74000,put,1.1053,0.7523
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-74500-C,74500,call,1.1128,0.7955
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-74500-P,74500,put,1.1128,0.7955
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-75000-C,75000,call,1.1203,0.8384
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-75000-P,75000,put,1.1203,0.8384
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-75500-C,75500,call,1.1277,0.8504
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-75500-P,75500,put,1.1277,0.8504
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-76000-C,76000,call,1.1352,0.8504
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-76000-P,76000,put,1.1352,0.8504
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-76500-C,76500,call,1.1427,0.8505
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-76500-P,76500,put,1.1427,0.8505
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-77000-C,77000,call,1.1501,0.8505
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-77000-P,77000,put,1.1501,0.8505
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-78000-C,78000,call,1.1651,0.8505
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-78000-P,78000,put,1.1651,0.8505
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-79000-C,79000,call,1.18,0.8505
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-79000-P,79000,put,1.18,0.8505
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-80000-C,80000,call,1.1949,0.8505
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-80000-P,80000,put,1.1949,0.8505
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-81000-C,81000,call,1.2099,0.8505
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-81000-P,81000,put,1.2099,0.8505
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-82000-C,82000,call,1.2248,0.8505
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-82000-P,82000,put,1.2248,0.8505
